total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
1,3.005601177591367,100,15432.59,yolov5m,5.800635933876038,0.6445151037640042,9,123.252126,13.3,2.8531390780000003,2.846264362335205,224.26894688606262,2.8503403663635254
2,3.8462361025198364,100,9659.386,yolov5m,0,0.6445151037640042,0,14.653405,13.4,0.293620058,0.2899363040924072,224.35720705986023,4.190033435821533
3,3.5236847258419632,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,13.698451,13.7,0.266663008,0.26346778869628906,224.8893666267395,5.555396795272827
4,3.609265262156677,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,12.386443,12.7,0.265609525,0.2611865997314453,225.43138122558594,7.102884769439697
5,3.473911236384007,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,12.469939,13.0,0.267026016,0.26267409324645996,225.95544004440308,8.680753469467163
6,3.8955515975715094,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,13.250211,12.7,0.27018119199999996,0.2655916213989258,226.4720697402954,10.240925073623657
7,3.6956480288361395,100,7448.131,yolov5m,0,0.6798412700494131,0,11.158662,13.2,0.22618718599999998,0.2197120189666748,226.1636824607849,11.286820888519287
8,3.4988072373730548,100,7448.131,yolov5m,0,0.6798412700494131,0,11.520356,13.1,0.233112971,0.22717738151550293,226.33683466911316,12.325239658355713
9,3.5725907072981347,100,7448.131,yolov5m,0,0.6798412700494131,0,11.298006,12.9,0.231868238,0.22588849067687988,226.67154240608215,13.344148874282837
10,3.283081810212966,100,7448.131,yolov5m,0,0.6798412700494131,0,11.443086,12.5,0.231612661,0.22580671310424805,226.90163445472717,14.352291822433472
11,3.5126389000428975,100,7448.131,yolov5m,0,0.6798412700494131,0,11.564851,13.0,0.234413172,0.2286980152130127,227.1591649055481,15.380475521087646
12,3.6662939371593675,100,15432.59,yolov5m,5.800635933876038,0.6445151037640042,9,13.743984,13.7,0.283313523,0.2779057025909424,228.11274790763855,17.205480337142944
13,3.5965908010581997,100,9659.386,yolov5m,0,0.6445151037640042,0,12.404509,13.6,0.257721413,0.2513861656188965,228.05900692939758,18.525573015213013
14,3.7693152347802417,100,9659.386,yolov5m,0,0.6445151037640042,0,12.753447,13.5,0.254393739,0.24755048751831055,228.48905420303345,19.798105478286743
15,3.799086021948839,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,13.661952,14.4,0.260770065,0.25371384620666504,228.77581787109375,21.218637228012085
16,3.6861913427674873,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,12.300994,13.4,0.25388917,0.24689388275146484,229.23904466629028,22.631997108459473
17,3.6040612114635526,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,11.973419,13.0,0.256576462,0.2500455379486084,229.65693831443787,24.05781364440918
18,3.5682312575788506,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,12.670378,12.5,0.253368276,0.24551868438720703,229.82778239250183,25.329734563827515
19,3.5702668634823898,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,12.399688,12.8,0.253531262,0.24701476097106934,230.22141003608704,26.603614807128906
20,3.5547399720326887,100,11834.285,yolov5m,5.67914953827858,0.7098936922848225,8,12.753935,12.9,0.265484465,0.2577955722808838,230.63207077980042,28.05410885810852
21,3.5410080388642964,100,9659.386,yolov5m,0,0.7098936922848225,0,12.298553,14.4,0.253544158,0.24611258506774902,230.90320706367493,29.349974393844604
22,3.5739833800031526,100,9659.386,yolov5m,0,0.7098936922848225,0,12.140045,13.1,0.248867111,0.24170255661010742,231.2587113380432,30.602028608322144
23,3.559493740417646,100,11834.285,yolov5m,5.67914953827858,0.7098936922848225,8,13.415798,13.2,0.272376831,0.2651398181915283,231.87426853179932,32.10527992248535
24,3.3083003451414017,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,17.389909,12.7,0.370102518,0.3654458522796631,232.14238357543945,33.491438150405884
25,3.639743576054612,100,9659.386,yolov5n,0,0.32736313343048096,0,16.241536,12.5,0.33580962599999997,0.330517053604126,232.61900067329407,34.847707748413086
26,3.5792207416021005,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,12.504546,12.6,0.242427883,0.23733925819396973,232.87715077400208,36.104785203933716
27,3.480482830227644,100,9659.386,yolov5n,0,0.32736313343048096,0,11.800507,13.4,0.242611895,0.2372443675994873,233.15629267692566,37.38002634048462
28,3.7132623231834594,100,12456.22,yolov5n,2.723424941301346,0.6808562353253365,4,13.369716,12.9,0.278112488,0.2723064422607422,233.81342959403992,38.94610381126404
