total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
1,3.005601177591367,100,15432.59,yolov5x,7.167225807905197,0.6515659825368361,11,173.054244,17.7,3.200501406,3.196855068206787,202.68895816802979,3.2003848552703857
2,3.8462361025198364,100,9659.386,yolov5n,0,0.6515659825368361,0,23.213625,19.1,0.364743739,0.362215518951416,202.8834846019745,4.687989950180054
3,3.5236847258419632,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,20.665475,22.6,0.28576911099999996,0.2829148769378662,203.47973084449768,6.153793096542358
4,3.609265262156677,100,12456.22,yolov5l,4.568897902965546,0.7614829838275909,6,35.089693,20.0,0.58503571,0.5848727226257324,204.35246801376343,8.06484341621399
5,3.473911236384007,100,12694.89,yolov5n,5.3460710644721985,0.5940078960524665,9,15.885458,18.3,0.26193515100000003,0.2617478370666504,204.8560643196106,9.651830673217773
6,3.8955515975715094,100,12694.89,yolov5n,5.3460710644721985,0.5940078960524665,9,14.654869,18.2,0.24321340900000002,0.24300837516784668,205.2863416671753,11.195263862609863
7,3.6956480288361395,100,7448.131,yolov5x,0.6505106687545776,0.6505106687545776,1,15.159446,18.4,0.246767035,0.24656033515930176,205.02888321876526,12.245437383651733
8,3.4988072373730548,100,7448.131,yolov5m,0,0.6505106687545776,0,24.753598,19.4,0.423052559,0.4228842258453369,205.48424005508423,13.46050214767456
9,3.5725907072981347,100,12694.89,yolov5l,5.359763652086258,0.7656805217266083,7,19.298473,22.0,0.271140998,0.27095532417297363,206.22305870056152,15.054785013198853
10,3.283081810212966,100,7448.131,yolov5x,0.6505106687545776,0.6505106687545776,1,14.687645,19.7,0.244723931,0.24454188346862793,206.27440571784973,16.15826153755188
11,3.5126389000428975,100,15432.59,yolov5n,4.378605306148529,0.6255150437355042,7,15.828695,19.8,0.27046454200000003,0.2702822685241699,207.34711074829102,17.995217084884644
12,3.6662939371593675,100,7448.131,yolov5n,0,0.6255150437355042,0,11.634247,17.7,0.212504647,0.2122957706451416,207.13950848579407,19.03893280029297
13,3.5965908010581997,100,7448.131,yolov5s,0,0.6255150437355042,0,21.774358,20.2,0.335161963,0.33498263359069824,207.58799052238464,20.178701877593994
14,3.7693152347802417,100,9659.386,yolov5m,0,0.6255150437355042,0,15.606711,14.4,0.256210908,0.2559638023376465,208.03287291526794,21.430961847305298
15,3.799086021948839,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,15.575888,22.5,0.27081106099999996,0.270643949508667,208.3913996219635,22.806225776672363
16,3.6861913427674873,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,13.14285,18.9,0.249763766,0.2495715618133545,208.91586995124817,24.269968509674072
17,3.6040612114635526,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,14.506799,17.7,0.267011325,0.26681947708129883,209.2485363483429,25.737345218658447
